douban_score,publisher,douban_votes,name,authors
9.1, 广西师范大学出版社,8409,孽子,白先勇
8.1, 译林出版社,17806,查令十字街84号,"[美]
            海莲·汉芙"
8.0, 花城出版社,306,考工记,
7.8, 朝华出版社,85563,致我们终将逝去的青春,辛夷坞
8.8, 北京十月文艺出版社,40317,梦里花落知多少,三毛
8.5, 江苏凤凰文艺出版社,2795,罗生门,时代华语
8.4, 江苏凤凰文艺出版社,12085,神们自己,读客
8.8, 后浪丨四川文艺出版社,172,变化的位面,后浪
8.8, 南海出版公司,210,有人在周围走动,新经典文化
9.4, 北京联合出版社,208,长长的回家路,大鱼读品
8.8, 上海译文出版社,22585,不能承受的生命之轻,"[捷克]
            米兰·昆德拉"
7.8, 人民文学出版社,22751,少年维特的烦恼,"[德]
            约翰·沃尔夫冈·冯·歌德"
8.4, 浙江文艺出版社,2178,生吞,郑执
8.9, 陕西师范大学出版社,34543,黄金时代,王小波
7.5, 北京十月文艺出版社,759,暗算,新经典文库·麦家作品集
8.7, 江苏少年儿童出版社,4500,青铜葵花,曹文轩
9.1, 中国青年出版社,58679,沉默的大多数,王小波
9.1, 北京十月文艺出版社,11714,平凡的世界,路遥
8.7, 上海人民出版社,2863,2666,"[智利]
            罗贝托·波拉尼奥"
8.8, 天津人民出版社,7128,月亮和六便士,"[英]
            威廉·萨默塞特·毛姆"
8.3, 上海译文出版社,27962,国境以南 太阳以西,"[日]
            村上春树"
7.8, 安徽文艺出版社,26881,鬼吹灯之龙岭迷窟,天下霸唱
7.8, 译林出版社,36260,当我们谈论爱情时我们在谈论什么,"[美]
            雷蒙德·卡佛"
8.2, 上海译文出版社,16642,十一种孤独,"[美]
            理查德·耶茨"
7.6, 新星出版社,10973,橘子不是唯一的水果,"[英]
            珍妮特·温特森"
9.0, 北京十月文艺出版社,1350,绿毛水怪,新经典文化
7.8, 上海人民出版社,1865,侠隐,世纪文景
8.7, 花城出版社,16249,青铜时代,王小波
7.7, 三联书店,17615,连城诀,金庸
8.0, 黄山书社,2599,帝宴,墨武
8.9, 译林出版社,1954,西线无战事,"[德]
            埃里希·玛丽亚·雷马克"
8.8, 中华书局,2420,山月记,open风度阅读
